filename,class,chart,diagram,none,table
image_넷플릭스주가_04_4_jpg,none,0.0005129751516506076,0.3081396818161011,0.6902392506599426,0.0011081062257289886
image_넷플릭스주가_05_4_jpg,diagram,0.034616537392139435,0.7027742266654968,0.26258325576782227,2.5964753149310127e-05
image_넷플릭스주가_07_4_jpg,table,0.004544183611869812,0.11267919838428497,0.2880023419857025,0.5947742462158203
image_넷플릭스주가_08_4_jpg,diagram,0.0377994030714035,0.5451626181602478,0.4170173108577728,2.0678839064203203e-05
image_넷플릭스주가_09_3_jpg,table,0.007479251828044653,0.06195700168609619,0.33462730050086975,0.5959364175796509
image_넷플릭스주가_09_4_jpg,table,2.066594106509001e-06,0.00011789176642196253,0.0011110055493190885,0.9987689852714539
image_넷플릭스주가_09_5_jpg,table,0.003977341577410698,0.06209735572338104,0.1207992359995842,0.8131260275840759
image_넷플릭스주가_11_4_jpg,table,2.637634679558687e-05,0.1360970288515091,0.010626506060361862,0.8532500863075256
image_넷플릭스주가_12_4_jpg,diagram,5.84513031753886e-07,0.9770193696022034,0.02298012003302574,4.5070585176325284e-13
image_넷플릭스주가_14_5_jpg,diagram,0.005725963972508907,0.6356257796287537,0.34549596905708313,0.013152320869266987
image_넷플릭스주가_15_3_jpg,table,3.989375909441151e-05,0.010803746990859509,0.4319288432598114,0.5572275519371033
image_넷플릭스주가_15_4_jpg,table,1.722232082101982e-05,0.0057154456153512,0.3066353499889374,0.6876319646835327
image_넷플릭스주가_16_3_jpg,none,0.0044340090826153755,0.007693943101912737,0.9741744995117188,0.013697545975446701
image_넷플릭스주가_17_4_jpg,diagram,0.022124722599983215,0.9150200486183167,0.05002659931778908,0.012828700244426727
image_넷플릭스주가_17_5_jpg,table,0.0002212532563135028,0.0008086234447546303,0.004410292487591505,0.9945598244667053
image_넷플릭스주가_18_2_jpg,table,0.0003869270149152726,0.008921483531594276,0.07925811409950256,0.9114335179328918
image_넷플릭스주가_18_3_jpg,chart,0.8196452260017395,0.005670351907610893,0.17427495121955872,0.00040951388655230403
image_넷플릭스주가_19_2_jpg,table,0.001028814003802836,0.004285785369575024,0.050679273903369904,0.944006085395813
image_넷플릭스주가_19_3_jpg,none,0.17854586243629456,0.00896031316369772,0.6537538170814514,0.15874001383781433
image_넷플릭스주가_21_3_jpg,chart,0.9237276315689087,0.009500537998974323,0.06677168607711792,1.3913440000123956e-07
image_넷플릭스주가_22_7_jpg,diagram,0.0013050530105829239,0.6274559497833252,0.18269652128219604,0.1885424554347992
image_넷플릭스주가_25_4_jpg,none,0.007474127225577831,0.2723580598831177,0.7201641201972961,3.6625929169531446e-06
image_넷플릭스주가_26_4_jpg,diagram,0.00020300749747548252,0.5867146849632263,0.41307783126831055,4.507100129558239e-06
image_넷플릭스주가_28_6_jpg,table,0.0016059419140219688,0.07890379428863525,0.1428854614496231,0.7766047716140747
image_넷플릭스주가_29_4_jpg,chart,0.9790711402893066,0.0052603986114263535,0.015668468549847603,1.3261629294714083e-10
image_넷플릭스주가_29_6_jpg,chart,0.9498301148414612,0.0045859613455832005,0.045583926141262054,4.240454016569972e-13
image_넷플릭스주가_30_4_jpg,chart,0.528659462928772,0.2657910883426666,0.2055494636297226,6.445919353836871e-08
image_넷플릭스주가_30_6_jpg,chart,0.9953487515449524,0.0003200562496203929,0.004331234376877546,4.031372458079829e-12
image_넷플릭스주가_31_3_jpg,table,0.001812581904232502,0.0634506344795227,0.09416276961565018,0.8405740857124329
image_넷플릭스주가_32_3_jpg,table,0.0010837082518264651,0.0342789962887764,0.06437689065933228,0.9002604484558105
image_넷플릭스주가_33_3_jpg,table,0.004447254352271557,0.11974699050188065,0.1399824172258377,0.7358233332633972
image_넷플릭스주가_34_3_jpg,diagram,0.4334028959274292,0.5143096446990967,0.047101061791181564,0.005186454858630896
image_넷플릭스주가_34_4_jpg,diagram,0.012175981886684895,0.9622794985771179,0.023815609514713287,0.0017289746319875121
image_넷플릭스주가_35_3_jpg,chart,0.9826067090034485,0.013694556429982185,0.0036503253504633904,4.8418452934129164e-05
image_넷플릭스주가_35_4_jpg,chart,0.9746683835983276,0.024198360741138458,0.001083821291103959,4.946421177010052e-05
image_넷플릭스주가_35_5_jpg,diagram,0.00559714250266552,0.9896717071533203,0.004532345570623875,0.00019876046280842274
image_넷플릭스주가_36_4_jpg,none,0.0005281828343868256,0.19140450656414032,0.5525319576263428,0.2555352747440338
image_넷플릭스주가_37_4_jpg,chart,0.9909569621086121,0.0004980031517334282,0.008545027114450932,1.7919492336515444e-15
image_넷플릭스주가_38_4_jpg,chart,0.9233810901641846,0.002738291397690773,0.07388066500425339,1.229237957083018e-12
image_넷플릭스주가_39_4_jpg,chart,0.9918195009231567,0.00011445039854152128,0.008066103793680668,6.601100976190476e-15
